DATE_TIME_FORMAT
MM/DD/YYYY hh:mm A
Queue Name	Date	Time	Time Interval	Volume (Absolute For)
Combined - All Media	07/27/2026	12:00 AM	1:00	0
Combined - All Media	07/27/2026	01:00 AM	1:00	1
Combined - All Media	07/27/2026	02:00 AM	1:00	0
Combined - All Media	07/27/2026	03:00 AM	1:00	0
Combined - All Media	07/27/2026	04:00 AM	1:00	0
Combined - All Media	07/27/2026	05:00 AM	1:00	0
Combined - All Media	07/27/2026	06:00 AM	1:00	3
Combined - All Media	07/27/2026	07:00 AM	1:00	15
Combined - All Media	07/27/2026	08:00 AM	1:00	37
Combined - All Media	07/27/2026	09:00 AM	1:00	44
Combined - All Media	07/27/2026	10:00 AM	1:00	48
Combined - All Media	07/27/2026	11:00 AM	1:00	49
Combined - All Media	07/27/2026	12:00 PM	1:00	49
Combined - All Media	07/27/2026	01:00 PM	1:00	42
Combined - All Media	07/27/2026	02:00 PM	1:00	44
Combined - All Media	07/27/2026	03:00 PM	1:00	34
Combined - All Media	07/27/2026	04:00 PM	1:00	43
Combined - All Media	07/27/2026	05:00 PM	1:00	25
Combined - All Media	07/27/2026	06:00 PM	1:00	11
Combined - All Media	07/27/2026	07:00 PM	1:00	12
Combined - All Media	07/27/2026	08:00 PM	1:00	7
Combined - All Media	07/27/2026	09:00 PM	1:00	9
Combined - All Media	07/27/2026	10:00 PM	1:00	5
Combined - All Media	07/27/2026	11:00 PM	1:00	2
Combined - All Media	07/28/2026	12:00 AM	1:00	0
Combined - All Media	07/28/2026	01:00 AM	1:00	0
Combined - All Media	07/28/2026	02:00 AM	1:00	0
Combined - All Media	07/28/2026	03:00 AM	1:00	0
Combined - All Media	07/28/2026	04:00 AM	1:00	2
Combined - All Media	07/28/2026	05:00 AM	1:00	0
Combined - All Media	07/28/2026	06:00 AM	1:00	4
Combined - All Media	07/28/2026	07:00 AM	1:00	8
Combined - All Media	07/28/2026	08:00 AM	1:00	18
Combined - All Media	07/28/2026	09:00 AM	1:00	30
Combined - All Media	07/28/2026	10:00 AM	1:00	35
Combined - All Media	07/28/2026	11:00 AM	1:00	28
Combined - All Media	07/28/2026	12:00 PM	1:00	39
Combined - All Media	07/28/2026	01:00 PM	1:00	35
Combined - All Media	07/28/2026	02:00 PM	1:00	37
Combined - All Media	07/28/2026	03:00 PM	1:00	32
Combined - All Media	07/28/2026	04:00 PM	1:00	27
Combined - All Media	07/28/2026	05:00 PM	1:00	19
Combined - All Media	07/28/2026	06:00 PM	1:00	16
Combined - All Media	07/28/2026	07:00 PM	1:00	10
Combined - All Media	07/28/2026	08:00 PM	1:00	6
Combined - All Media	07/28/2026	09:00 PM	1:00	7
Combined - All Media	07/28/2026	10:00 PM	1:00	2
Combined - All Media	07/28/2026	11:00 PM	1:00	5
Combined - All Media	07/29/2026	12:00 AM	1:00	1
Combined - All Media	07/29/2026	01:00 AM	1:00	0
Combined - All Media	07/29/2026	02:00 AM	1:00	0
Combined - All Media	07/29/2026	03:00 AM	1:00	0
Combined - All Media	07/29/2026	04:00 AM	1:00	0
Combined - All Media	07/29/2026	05:00 AM	1:00	1
Combined - All Media	07/29/2026	06:00 AM	1:00	3
Combined - All Media	07/29/2026	07:00 AM	1:00	8
Combined - All Media	07/29/2026	08:00 AM	1:00	21
Combined - All Media	07/29/2026	09:00 AM	1:00	26
Combined - All Media	07/29/2026	10:00 AM	1:00	23
Combined - All Media	07/29/2026	11:00 AM	1:00	36
Combined - All Media	07/29/2026	12:00 PM	1:00	30
Combined - All Media	07/29/2026	01:00 PM	1:00	30
Combined - All Media	07/29/2026	02:00 PM	1:00	30
Combined - All Media	07/29/2026	03:00 PM	1:00	29
Combined - All Media	07/29/2026	04:00 PM	1:00	31
Combined - All Media	07/29/2026	05:00 PM	1:00	20
Combined - All Media	07/29/2026	06:00 PM	1:00	15
Combined - All Media	07/29/2026	07:00 PM	1:00	7
Combined - All Media	07/29/2026	08:00 PM	1:00	11
Combined - All Media	07/29/2026	09:00 PM	1:00	6
Combined - All Media	07/29/2026	10:00 PM	1:00	6
Combined - All Media	07/29/2026	11:00 PM	1:00	2
Combined - All Media	07/30/2026	12:00 AM	1:00	1
Combined - All Media	07/30/2026	01:00 AM	1:00	0
Combined - All Media	07/30/2026	02:00 AM	1:00	1
Combined - All Media	07/30/2026	03:00 AM	1:00	0
Combined - All Media	07/30/2026	04:00 AM	1:00	0
Combined - All Media	07/30/2026	05:00 AM	1:00	0
Combined - All Media	07/30/2026	06:00 AM	1:00	2
Combined - All Media	07/30/2026	07:00 AM	1:00	6
Combined - All Media	07/30/2026	08:00 AM	1:00	19
Combined - All Media	07/30/2026	09:00 AM	1:00	23
Combined - All Media	07/30/2026	10:00 AM	1:00	25
Combined - All Media	07/30/2026	11:00 AM	1:00	36
Combined - All Media	07/30/2026	12:00 PM	1:00	31
Combined - All Media	07/30/2026	01:00 PM	1:00	30
Combined - All Media	07/30/2026	02:00 PM	1:00	31
Combined - All Media	07/30/2026	03:00 PM	1:00	25
Combined - All Media	07/30/2026	04:00 PM	1:00	24
Combined - All Media	07/30/2026	05:00 PM	1:00	22
Combined - All Media	07/30/2026	06:00 PM	1:00	14
Combined - All Media	07/30/2026	07:00 PM	1:00	16
Combined - All Media	07/30/2026	08:00 PM	1:00	11
Combined - All Media	07/30/2026	09:00 PM	1:00	7
Combined - All Media	07/30/2026	10:00 PM	1:00	10
Combined - All Media	07/30/2026	11:00 PM	1:00	2
Combined - All Media	07/31/2026	12:00 AM	1:00	0
Combined - All Media	07/31/2026	01:00 AM	1:00	0
Combined - All Media	07/31/2026	02:00 AM	1:00	1
Combined - All Media	07/31/2026	03:00 AM	1:00	0
Combined - All Media	07/31/2026	04:00 AM	1:00	0
Combined - All Media	07/31/2026	05:00 AM	1:00	0
Combined - All Media	07/31/2026	06:00 AM	1:00	3
Combined - All Media	07/31/2026	07:00 AM	1:00	2
Combined - All Media	07/31/2026	08:00 AM	1:00	14
Combined - All Media	07/31/2026	09:00 AM	1:00	35
Combined - All Media	07/31/2026	10:00 AM	1:00	41
Combined - All Media	07/31/2026	11:00 AM	1:00	32
Combined - All Media	07/31/2026	12:00 PM	1:00	22
Combined - All Media	07/31/2026	01:00 PM	1:00	30
Combined - All Media	07/31/2026	02:00 PM	1:00	32
Combined - All Media	07/31/2026	03:00 PM	1:00	39
Combined - All Media	07/31/2026	04:00 PM	1:00	27
Combined - All Media	07/31/2026	05:00 PM	1:00	38
Combined - All Media	07/31/2026	06:00 PM	1:00	24
Combined - All Media	07/31/2026	07:00 PM	1:00	16
Combined - All Media	07/31/2026	08:00 PM	1:00	14
Combined - All Media	07/31/2026	09:00 PM	1:00	4
Combined - All Media	07/31/2026	10:00 PM	1:00	9
Combined - All Media	07/31/2026	11:00 PM	1:00	1
Combined - All Media	08/01/2026	12:00 AM	1:00	1
Combined - All Media	08/01/2026	01:00 AM	1:00	0
Combined - All Media	08/01/2026	02:00 AM	1:00	0
Combined - All Media	08/01/2026	03:00 AM	1:00	0
Combined - All Media	08/01/2026	04:00 AM	1:00	1
Combined - All Media	08/01/2026	05:00 AM	1:00	3
Combined - All Media	08/01/2026	06:00 AM	1:00	0
Combined - All Media	08/01/2026	07:00 AM	1:00	0
Combined - All Media	08/01/2026	08:00 AM	1:00	11
Combined - All Media	08/01/2026	09:00 AM	1:00	18
Combined - All Media	08/01/2026	10:00 AM	1:00	28
Combined - All Media	08/01/2026	11:00 AM	1:00	33
Combined - All Media	08/01/2026	12:00 PM	1:00	37
Combined - All Media	08/01/2026	01:00 PM	1:00	29
Combined - All Media	08/01/2026	02:00 PM	1:00	31
Combined - All Media	08/01/2026	03:00 PM	1:00	29
Combined - All Media	08/01/2026	04:00 PM	1:00	20
Combined - All Media	08/01/2026	05:00 PM	1:00	23
Combined - All Media	08/01/2026	06:00 PM	1:00	13
Combined - All Media	08/01/2026	07:00 PM	1:00	15
Combined - All Media	08/01/2026	08:00 PM	1:00	8
Combined - All Media	08/01/2026	09:00 PM	1:00	6
Combined - All Media	08/01/2026	10:00 PM	1:00	4
Combined - All Media	08/01/2026	11:00 PM	1:00	2
Combined - All Media	08/02/2026	12:00 AM	1:00	1
Combined - All Media	08/02/2026	01:00 AM	1:00	0
Combined - All Media	08/02/2026	02:00 AM	1:00	0
Combined - All Media	08/02/2026	03:00 AM	1:00	1
Combined - All Media	08/02/2026	04:00 AM	1:00	0
Combined - All Media	08/02/2026	05:00 AM	1:00	2
Combined - All Media	08/02/2026	06:00 AM	1:00	0
Combined - All Media	08/02/2026	07:00 AM	1:00	1
Combined - All Media	08/02/2026	08:00 AM	1:00	9
Combined - All Media	08/02/2026	09:00 AM	1:00	16
Combined - All Media	08/02/2026	10:00 AM	1:00	23
Combined - All Media	08/02/2026	11:00 AM	1:00	20
Combined - All Media	08/02/2026	12:00 PM	1:00	22
Combined - All Media	08/02/2026	01:00 PM	1:00	21
Combined - All Media	08/02/2026	02:00 PM	1:00	15
Combined - All Media	08/02/2026	03:00 PM	1:00	18
Combined - All Media	08/02/2026	04:00 PM	1:00	14
Combined - All Media	08/02/2026	05:00 PM	1:00	15
Combined - All Media	08/02/2026	06:00 PM	1:00	9
Combined - All Media	08/02/2026	07:00 PM	1:00	12
Combined - All Media	08/02/2026	08:00 PM	1:00	7
Combined - All Media	08/02/2026	09:00 PM	1:00	8
Combined - All Media	08/02/2026	10:00 PM	1:00	1
Combined - All Media	08/02/2026	11:00 PM	1:00	1
