Queue	Designation	fd
APBN_BRU_RSA_INTERNAT_All_FR	Alliannz Contract BE	RSA BE FR
APBN_BRU_RSA_INSURAN_AB_FR	Alliannz Contract BE	RSA BE FR
APBN_BRU_MOBILITY_PROVIDER_Interco_FR	provider BE	RSA BE FR
APBN_BRU_MOBILITY_PROVIDER_Local_FR	provider BE	RSA BE FR
BRU_MOBILITY_BIKE_Bike_FR	RSA BE	RSA BE FR
APBN_BRU_MOBILITY_INSURAN_Front_FR	RSA BE	RSA BE FR
APBN_BRU_MOBILITY_INTERNAT_Front_FR	RSA BE	RSA BE FR
APBN_BRU_MOBILITY_OEM-CONS_Front_FR	RSA BE	RSA BE FR
APBN_BRU_MOBILITY_VIP_Front_FR	RSA BE	RSA BE FR
APBN_BRU_RSA_INSURAN_All_FR	RSA BE	RSA BE FR
APBN_BRU_RSA_INTERNAT_All_VL	Alliannz Contract BE	RSA BE VL
APBN_BRU_RSA_INSURAN_AB_VL	Alliannz Contract BE	RSA BE VL
APBN_BRU_MOBILITY_PROVIDER_Interco_VL	Provider VL	RSA BE VL
APBN_BRU_MOBILITY_PROVIDER_Local_VL	Provider VL	RSA BE VL
APBN_BRU_MOBILITY_PROVIDER_Morocco_EN	Provider VL BE	RSA BE VL
APBN_BRU_MOBILITY_PROVIDER_Interco_EN	Provider VL BE	RSA BE VL
BRU_MOBILITY_BIKE_Bike_VL	RSA VL	RSA BE VL
APBN_BRU_MOBILITY_INSURAN_Front_VL	RSA VL	RSA BE VL
APBN_BRU_MOBILITY_INTERNAT_Front_VL	RSA VL	RSA BE VL
APBN_BRU_MOBILITY_NIGHT_NightShift_VL	RSA VL	RSA BE VL
APBN_BRU_MOBILITY_OEM-CONS_Front_VL	RSA VL	RSA BE VL
APBN_BRU_MOBILITY_POLICE_OBU_DE	RSA VL	RSA BE VL
APBN_BRU_MOBILITY_POLICE_OBU_EN	RSA VL	RSA BE VL
APBN_BRU_MOBILITY_POLICE_OBU_ES	RSA VL	RSA BE VL
APBN_BRU_MOBILITY_POLICE_OBU_PL	RSA VL	RSA BE VL
APBN_BRU_MOBILITY_POLICE_OBU_VL	RSA VL	RSA BE VL
APBN_BRU_MOBILITY_VIP_Front_VL	RSA VL	RSA BE VL
APBN_BRU_RSA_INSURAN_All_VL	RSA VL	RSA BE VL
APBN_BRU_RSA_VIP_Front_VL	RSA VL	RSA BE VL
APBN_AMS_RSA_INSURAN_AzN_NL	Alliannz Contract NL	RSA NL
APBN_AMS_RSA_INTERNAT_All_NL	Alliannz Contract NL	RSA NL
APBN_AMS_MOBILITY_INTERNAT_FollowUp_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_LEASE-RE_FollowUp_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_OEM-CONS_FollowUp_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_VIP_FollowUp_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_INTERNAT_Front_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_LEASE-RE_Front_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_OEM-CONS_Front_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_VIP_Front_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_INSURAN_AllianzNetherlandsOEM_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_INSURAN_FollowUp_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_INSURAN_Front_NL	RSA NL	RSA NL
APBN_AMS_RSA_INSURAN_All_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_BIKE_Bike_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_CRM_ConciergeBBH_NL	RSA NL	RSA NL
APBN_AMS_MOBILITY_PROVIDER_Interco_NL	RSA NL Provider	RSA NL
APBN_AMS_MOBILITY_PROVIDER_Local_NL	RSA NL Provider	RSA NL
APBN_AMS_MOBILITY_PROVIDER_Morocco_NL	RSA NL Provider	RSA NL
APBN_BRU_MOBILITY_Ford_Assistance_FR	Ford FR	Ford FR
APBN_BRU_MOBILITY_Ford_Dealers_FR	Ford FR	Ford FR
APBN_LUX_MOBILITY_Ford_Assistance_FR	Ford FR	Ford FR
APCH_ZRH_RSA_Ford_Assistance_FR	Ford FR	Ford FR
APFR_PAR_RSA_CSTRUCTR_FORD_ASSISTANCE_FR	Ford FR	Ford FR
APFR_PAR_RSA_CSTRUCTR_TOYOTA-LEXUS_FR	Ford FR	Ford FR
APFR_PAR_RSA_CHERY_ASSISTANCE_FR	Ford FR	Ford FR
APBN_AMS_MOBILITY_Ford_Assistance_NL	Ford NL	Ford FR
APBN_AMS_MOBILITY_Ford_Dealers_NL	Ford NL	Ford FR
APBN_BRU_MOBILITY_Ford_Assistance_VL	Ford NL	Ford FR
APBN_BRU_MOBILITY_Ford_Dealers_VL	Ford NL	Ford FR
 
