business_date,interval_start,source_system,lob,language,offered,answered,abandoned,short_abandoned,abandoned_within_target,answered_within_target,service_level,service_availability,abandon_rate,aht_seconds,sl_target,sl_state,mapping_status
2026-09-05,2026-09-05 00:00:00,CALL_BY_CALL,Ford FR,FR,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,332.5,0.8,ON_TARGET,MAPPED
2026-09-05,2026-09-05 00:00:00,CALL_BY_CALL,Ford NL,NL,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,118.0,0.8,ON_TARGET,MAPPED
2026-09-05,2026-09-05 00:00:00,CALL_BY_CALL,RSA BE FR,FR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.8,BELOW_TARGET,MAPPED
2026-09-05,2026-09-05 00:00:00,CALL_BY_CALL,RSA BE VL,VL,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.8,BELOW_TARGET,MAPPED
2026-09-05,2026-09-05 00:00:00,CALL_BY_CALL,RSA NL,NL,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,145.8,0.8,BELOW_TARGET,MAPPED
2026-09-05,2026-09-05 01:00:00,CALL_BY_CALL,Ford FR,FR,3.0,3.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.0,757.0,0.8,BELOW_TARGET,MAPPED
2026-09-05,2026-09-05 01:00:00,CALL_BY_CALL,Ford NL,NL,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,146.0,0.8,ON_TARGET,MAPPED
2026-09-05,2026-09-05 01:00:00,CALL_BY_CALL,RSA BE VL,VL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,686.0,0.8,BELOW_TARGET,MAPPED
2026-09-05,2026-09-05 01:00:00,CALL_BY_CALL,RSA NL,NL,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,226.4,0.8,BELOW_TARGET,MAPPED
2026-09-05,2026-09-05 02:00:00,CALL_BY_CALL,Ford NL,NL,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,431.0,0.8,ON_TARGET,MAPPED
2026-09-05,2026-09-05 02:00:00,CALL_BY_CALL,RSA NL,NL,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,206.0,0.8,ON_TARGET,MAPPED
2026-09-05,2026-09-05 03:00:00,CALL_BY_CALL,RSA NL,NL,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,170.0,0.8,ON_TARGET,MAPPED
2026-09-05,2026-09-05 04:00:00,CALL_BY_CALL,Ford NL,NL,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,434.0,0.8,ON_TARGET,MAPPED
2026-09-05,2026-09-05 04:00:00,CALL_BY_CALL,RSA NL,NL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.8,BELOW_TARGET,MAPPED
