DATE_TIME_FORMAT
MM/DD/YYYY hh:mm A
Queue Name	Date	Time	Time Interval	Volume (Absolute For)	Full Time Equivalents (Absolute Req)
NL_RSA_Ford_Level 1	09/01/2026	12:00 AM	00:15	0	1
NL_RSA_Ford_Level 1	09/01/2026	12:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	12:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	12:45 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	01:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	01:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	01:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	01:45 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	02:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	02:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	02:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	02:45 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	03:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	03:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	03:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	03:45 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	04:00 AM	00:15	3	1
NL_RSA_Ford_Level 1	09/01/2026	04:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	04:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	04:45 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	05:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	05:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	05:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	05:45 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	06:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	06:15 AM	00:15	1	1
NL_RSA_Ford_Level 1	09/01/2026	06:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	06:45 AM	00:15	2	2
NL_RSA_Ford_Level 1	09/01/2026	07:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	07:15 AM	00:15	2	2
NL_RSA_Ford_Level 1	09/01/2026	07:30 AM	00:15	2	3
NL_RSA_Ford_Level 1	09/01/2026	07:45 AM	00:15	4	4
NL_RSA_Ford_Level 1	09/01/2026	08:00 AM	00:15	8	6
NL_RSA_Ford_Level 1	09/01/2026	08:15 AM	00:15	4	5
NL_RSA_Ford_Level 1	09/01/2026	08:30 AM	00:15	7	6
NL_RSA_Ford_Level 1	09/01/2026	08:45 AM	00:15	8	6
NL_RSA_Ford_Level 1	09/01/2026	09:00 AM	00:15	8	7
NL_RSA_Ford_Level 1	09/01/2026	09:15 AM	00:15	7	7
NL_RSA_Ford_Level 1	09/01/2026	09:30 AM	00:15	12	9
NL_RSA_Ford_Level 1	09/01/2026	09:45 AM	00:15	9	8
NL_RSA_Ford_Level 1	09/01/2026	10:00 AM	00:15	11	9
NL_RSA_Ford_Level 1	09/01/2026	10:15 AM	00:15	8	7
NL_RSA_Ford_Level 1	09/01/2026	10:30 AM	00:15	10	8
NL_RSA_Ford_Level 1	09/01/2026	10:45 AM	00:15	8	7
NL_RSA_Ford_Level 1	09/01/2026	11:00 AM	00:15	9	7
NL_RSA_Ford_Level 1	09/01/2026	11:15 AM	00:15	11	7
NL_RSA_Ford_Level 1	09/01/2026	11:30 AM	00:15	8	7
NL_RSA_Ford_Level 1	09/01/2026	11:45 AM	00:15	7	7
NL_RSA_Ford_Level 1	09/01/2026	12:00 PM	00:15	8	7
NL_RSA_Ford_Level 1	09/01/2026	12:15 PM	00:15	8	7
NL_RSA_Ford_Level 1	09/01/2026	12:30 PM	00:15	4	5
NL_RSA_Ford_Level 1	09/01/2026	12:45 PM	00:15	6	6
NL_RSA_Ford_Level 1	09/01/2026	01:00 PM	00:15	9	6
NL_RSA_Ford_Level 1	09/01/2026	01:15 PM	00:15	6	6
NL_RSA_Ford_Level 1	09/01/2026	01:30 PM	00:15	8	6
NL_RSA_Ford_Level 1	09/01/2026	01:45 PM	00:15	9	7
NL_RSA_Ford_Level 1	09/01/2026	02:00 PM	00:15	7	6
NL_RSA_Ford_Level 1	09/01/2026	02:15 PM	00:15	11	8
NL_RSA_Ford_Level 1	09/01/2026	02:30 PM	00:15	9	7
NL_RSA_Ford_Level 1	09/01/2026	02:45 PM	00:15	7	6
NL_RSA_Ford_Level 1	09/01/2026	03:00 PM	00:15	8	7
NL_RSA_Ford_Level 1	09/01/2026	03:15 PM	00:15	8	7
NL_RSA_Ford_Level 1	09/01/2026	03:30 PM	00:15	6	5
NL_RSA_Ford_Level 1	09/01/2026	03:45 PM	00:15	8	6
NL_RSA_Ford_Level 1	09/01/2026	04:00 PM	00:15	7	5
NL_RSA_Ford_Level 1	09/01/2026	04:15 PM	00:15	5	6
NL_RSA_Ford_Level 1	09/01/2026	04:30 PM	00:15	8	6
NL_RSA_Ford_Level 1	09/01/2026	04:45 PM	00:15	8	7
NL_RSA_Ford_Level 1	09/01/2026	05:00 PM	00:15	6	5
NL_RSA_Ford_Level 1	09/01/2026	05:15 PM	00:15	5	5
NL_RSA_Ford_Level 1	09/01/2026	05:30 PM	00:15	7	5
NL_RSA_Ford_Level 1	09/01/2026	05:45 PM	00:15	5	4
NL_RSA_Ford_Level 1	09/01/2026	06:00 PM	00:15	2	4
NL_RSA_Ford_Level 1	09/01/2026	06:15 PM	00:15	4	3
NL_RSA_Ford_Level 1	09/01/2026	06:30 PM	00:15	4	3
NL_RSA_Ford_Level 1	09/01/2026	06:45 PM	00:15	1	3
NL_RSA_Ford_Level 1	09/01/2026	07:00 PM	00:15	4	4
NL_RSA_Ford_Level 1	09/01/2026	07:15 PM	00:15	3	4
NL_RSA_Ford_Level 1	09/01/2026	07:30 PM	00:15	3	3
NL_RSA_Ford_Level 1	09/01/2026	07:45 PM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	08:00 PM	00:15	4	4
NL_RSA_Ford_Level 1	09/01/2026	08:15 PM	00:15	0	2
NL_RSA_Ford_Level 1	09/01/2026	08:30 PM	00:15	2	2
NL_RSA_Ford_Level 1	09/01/2026	08:45 PM	00:15	2	2
NL_RSA_Ford_Level 1	09/01/2026	09:00 PM	00:15	1	2
NL_RSA_Ford_Level 1	09/01/2026	09:15 PM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	09:30 PM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	09:45 PM	00:15	3	1
NL_RSA_Ford_Level 1	09/01/2026	10:00 PM	00:15	1	2
NL_RSA_Ford_Level 1	09/01/2026	10:15 PM	00:15	0	2
NL_RSA_Ford_Level 1	09/01/2026	10:30 PM	00:15	3	2
NL_RSA_Ford_Level 1	09/01/2026	10:45 PM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	11:00 PM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	11:15 PM	00:15	1	2
NL_RSA_Ford_Level 1	09/01/2026	11:30 PM	00:15	0	0
NL_RSA_Ford_Level 1	09/01/2026	11:45 PM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	12:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	12:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	12:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	12:45 AM	00:15	2	2
NL_RSA_Ford_Level 1	09/02/2026	01:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	01:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	01:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	01:45 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	02:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	02:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	02:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	02:45 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	03:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	03:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	03:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	03:45 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	04:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	04:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	04:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	04:45 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	05:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	05:15 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	05:30 AM	00:15	1	1
NL_RSA_Ford_Level 1	09/02/2026	05:45 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	06:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	06:15 AM	00:15	2	1
NL_RSA_Ford_Level 1	09/02/2026	06:30 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	06:45 AM	00:15	2	2
NL_RSA_Ford_Level 1	09/02/2026	07:00 AM	00:15	0	0
NL_RSA_Ford_Level 1	09/02/2026	07:15 AM	00:15	5	3
NL_RSA_Ford_Level 1	09/02/2026	07:30 AM	00:15	2	3
NL_RSA_Ford_Level 1	09/02/2026	07:45 AM	00:15	3	3
NL_RSA_Ford_Level 1	09/02/2026	08:00 AM	00:15	3	4
NL_RSA_Ford_Level 1	09/02/2026	08:15 AM	00:15	5	5
NL_RSA_Ford_Level 1	09/02/2026	08:30 AM	00:15	5	5
NL_RSA_Ford_Level 1	09/02/2026	08:45 AM	00:15	5	6
NL_RSA_Ford_Level 1	09/02/2026	09:00 AM	00:15	6	6
NL_RSA_Ford_Level 1	09/02/2026	09:15 AM	00:15	11	8
NL_RSA_Ford_Level 1	09/02/2026	09:30 AM	00:15	9	8
NL_RSA_Ford_Level 1	09/02/2026	09:45 AM	00:15	10	7
NL_RSA_Ford_Level 1	09/02/2026	10:00 AM	00:15	7	7
NL_RSA_Ford_Level 1	09/02/2026	10:15 AM	00:15	10	7
NL_RSA_Ford_Level 1	09/02/2026	10:30 AM	00:15	8	8
NL_RSA_Ford_Level 1	09/02/2026	10:45 AM	00:15	10	7
NL_RSA_Ford_Level 1	09/02/2026	11:00 AM	00:15	7	7
NL_RSA_Ford_Level 1	09/02/2026	11:15 AM	00:15	7	7
NL_RSA_Ford_Level 1	09/02/2026	11:30 AM	00:15	7	6
NL_RSA_Ford_Level 1	09/02/2026	11:45 AM	00:15	15	10
NL_RSA_Ford_Level 1	09/02/2026	12:00 PM	00:15	5	6
NL_RSA_Ford_Level 1	09/02/2026	12:15 PM	00:15	8	7
NL_RSA_Ford_Level 1	09/02/2026	12:30 PM	00:15	9	6
NL_RSA_Ford_Level 1	09/02/2026	12:45 PM	00:15	7	7
NL_RSA_Ford_Level 1	09/02/2026	01:00 PM	00:15	8	7
NL_RSA_Ford_Level 1	09/02/2026	01:15 PM	00:15	7	7
NL_RSA_Ford_Level 1	09/02/2026	01:30 PM	00:15	8	7
NL_RSA_Ford_Level 1	09/02/2026	01:45 PM	00:15	9	7
NL_RSA_Ford_Level 1	09/02/2026	02:00 PM	00:15	6	7
NL_RSA_Ford_Level 1	09/02/2026	02:15 PM	00:15	9	7
NL_RSA_Ford_Level 1	09/02/2026	02:30 PM	00:15	7	8
NL_RSA_Ford_Level 1	09/02/2026	02:45 PM	00:15	6	6
NL_RSA_Ford_Level 1	09/02/2026	03:00 PM	00:15	9	6
NL_RSA_Ford_Level 1	09/02/2026	03:15 PM	00:15	7	7
NL_RSA_Ford_Level 1	09/02/2026	03:30 PM	00:15	8	6
NL_RSA_Ford_Level 1	09/02/2026	03:45 PM	00:15	5	6
NL_RSA_Ford_Level 1	09/02/2026	04:00 PM	00:15	7	7
NL_RSA_Ford_Level 1	09/02/2026	04:15 PM	00:15	7	6
NL_RSA_Ford_Level 1	09/02/2026	04:30 PM	00:15	6	5
NL_RSA_Ford_Level 1	09/02/2026	04:45 PM	00:15	7	6
NL_RSA_Ford_Level 1	09/02/2026	05:00 PM	00:15	7	5
NL_RSA_Ford_Level 1	09/02/2026	05:15 PM	00:15	5	5
NL_RSA_Ford_Level 1	09/02/2026	05:30 PM	00:15	3	5
NL_RSA_Ford_Level 1	09/02/2026	05:45 PM	00:15	4	4
NL_RSA_Ford_Level 1	09/02/2026	06:00 PM	00:15	3	4
NL_RSA_Ford_Level 1	09/02/2026	06:15 PM	00:15	2	2
NL_RSA_Ford_Level 1	09/02/2026	06:30 PM	00:15	3	4
NL_RSA_Ford_Level 1	09/02/2026	06:45 PM	00:15	2	2
NL_RSA_Ford_Level 1	09/02/2026	07:00 PM	00:15	1	2
NL_RSA_Ford_Level 1	09/02/2026	07:15 PM	00:15	0	2
