mapping_type,source_system,source_value,service_scope,designation
forecast_file,VERINT_FORECAST,FORD_FR,Ford FR,Ford France
forecast_file,VERINT_FORECAST,FORD_NL,Ford NL,Ford Netherlands
forecast_file,VERINT_FORECAST,RSA_BE,RSA BE,RSA Belgium
forecast_file,VERINT_FORECAST,RSA_NL,RSA NL,RSA Netherlands
scope_rollup,CONFIG,RSA BE FR,RSA BE,RSA Belgium rollup
scope_rollup,CONFIG,RSA BE VL,RSA BE,RSA Belgium rollup
queue,STORM,APBN_BRU_RSA_INTERNAT_All_FR,RSA BE FR,Allianz Contract BE
queue,STORM,APBN_BRU_RSA_INSURAN_AB_FR,RSA BE FR,Allianz Contract BE
queue,STORM,APBN_BRU_MOBILITY_PROVIDER_Interco_FR,RSA BE FR,Provider BE
queue,STORM,APBN_BRU_MOBILITY_PROVIDER_Local_FR,RSA BE FR,Provider BE
queue,STORM,BRU_MOBILITY_BIKE_Bike_FR,RSA BE FR,RSA BE
queue,STORM,APBN_BRU_MOBILITY_INSURAN_Front_FR,RSA BE FR,RSA BE
queue,STORM,APBN_BRU_MOBILITY_INTERNAT_Front_FR,RSA BE FR,RSA BE
queue,STORM,APBN_BRU_MOBILITY_OEM-CONS_Front_FR,RSA BE FR,RSA BE
queue,STORM,APBN_BRU_MOBILITY_VIP_Front_FR,RSA BE FR,RSA BE
queue,STORM,APBN_BRU_RSA_INSURAN_All_FR,RSA BE FR,RSA BE
queue,STORM,APBN_BRU_RSA_INTERNAT_All_VL,RSA BE VL,Allianz Contract BE
queue,STORM,APBN_BRU_RSA_INSURAN_AB_VL,RSA BE VL,Allianz Contract BE
queue,STORM,APBN_BRU_MOBILITY_PROVIDER_Interco_VL,RSA BE VL,Provider VL
queue,STORM,APBN_BRU_MOBILITY_PROVIDER_Local_VL,RSA BE VL,Provider VL
queue,STORM,APBN_BRU_MOBILITY_PROVIDER_Morocco_EN,RSA BE VL,Provider VL BE
queue,STORM,APBN_BRU_MOBILITY_PROVIDER_Interco_EN,RSA BE VL,Provider VL BE
queue,STORM,BRU_MOBILITY_BIKE_Bike_VL,RSA BE VL,RSA VL
queue,STORM,APBN_BRU_MOBILITY_INSURAN_Front_VL,RSA BE VL,RSA VL
queue,STORM,APBN_BRU_MOBILITY_INTERNAT_Front_VL,RSA BE VL,RSA VL
queue,STORM,APBN_BRU_MOBILITY_NIGHT_NightShift_VL,RSA BE VL,RSA VL
queue,STORM,APBN_BRU_MOBILITY_OEM-CONS_Front_VL,RSA BE VL,RSA VL
queue,STORM,APBN_BRU_MOBILITY_POLICE_OBU_DE,RSA BE VL,RSA VL
